drawing_key,split,phase,raw_json_path,normalized_json_path,entity_count,bbox_entity_count,text_count,type_count_json,drawing_bbox
_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com.normalized.json,14,14,5,"{""CIRCLE"": 4, ""INSERT"": 1, ""LWPOLYLINE"": 4, ""TEXT"": 5}","0.0,0.0,1065.5349,468.6454"
_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,datas/raw_json/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).json,outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).normalized.json,1,1,0,"{""CIRCLE"": 1}","494.2153,-233.2141,501.7153,-225.7141"
_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,datas/raw_json/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).json,outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).normalized.json,2,2,0,"{""CIRCLE"": 1, ""INSERT"": 1}","0.0,-232.8889,503.1412,0.0"
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,datas/raw_json/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).json,outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).normalized.json,2,2,1,"{""CIRCLE"": 1, ""TEXT"": 1}","491.5964,-236.4419,505.1697,-225.8778"
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,datas/raw_json/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).json,outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).normalized.json,3,3,1,"{""CIRCLE"": 1, ""INSERT"": 1, ""TEXT"": 1}","0.0,-236.6947,505.4455,0.0"
_P2_staging/地下变电所 (gb4728_11_2.14-1),train,P2,datas/raw_json/_P2_staging/地下变电所 (gb4728_11_2.14-1).json,outputs/normalized_geometry/_P2_staging/地下变电所 (gb4728_11_2.14-1).normalized.json,4,4,0,"{""CIRCLE"": 1, ""LINE"": 3}","496.0276,-233.9637,501.0276,-226.7002"
_P2_staging/地下变电所 (gb4728_11_2.14-2),test,P2,datas/raw_json/_P2_staging/地下变电所 (gb4728_11_2.14-2).json,outputs/normalized_geometry/_P2_staging/地下变电所 (gb4728_11_2.14-2).normalized.json,5,5,0,"{""CIRCLE"": 1, ""INSERT"": 1, ""LINE"": 3}","0.0,-234.6246,500.8707,0.0"
_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,datas/raw_json/_P2_staging/杆上变电站 (gb4728_11_2.11-1).json,outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-1).normalized.json,2,2,0,"{""CIRCLE"": 2}","497.0407,-232.9902,502.0407,-226.7402"
_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,datas/raw_json/_P2_staging/杆上变电站 (gb4728_11_2.11-2).json,outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-2).normalized.json,3,3,0,"{""CIRCLE"": 2, ""INSERT"": 1}","0.0,-232.5544,501.6102,0.0"
_P2_staging/移动变电所 (gb4728-11_2.12-2),val,P2,datas/raw_json/_P2_staging/移动变电所 (gb4728-11_2.12-2).json,outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728-11_2.12-2).normalized.json,4,4,0,"{""CIRCLE"": 3, ""INSERT"": 1}","0.0,-233.5102,501.2087,0.0"
