panel_id,parent_drawing_key,parent_drawing_id,parent_png_path,parent_raw_json_path,panel_index,panel_count,split,phase,batch,split_method,panel_bbox_cad,parent_bbox_cad,panel_bbox_png,parent_png_width,parent_png_height,panel_entity_count,panel_png_path,needs_review,notes,review_status,review_comment,reviewed,panel_usable
_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com#panel_000,_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.0,-344.0539,1250.8419,558.7291","-25.0,-344.0539,1250.8419,558.7291","0.0,0.0,9362.0,6622.0",9362,6622,3198,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com#panel_000,_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-49.3622,-347.2136,806.3731,558.8364","-49.3622,-347.2136,806.3731,558.8364","0.0,0.0,6622.0,9362.0",6622,9362,7147,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com#panel_000,_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.0,-350.2307,816.6342,559.2234","-25.0,-350.2307,816.6342,559.2234","0.0,0.0,6622.0,9362.0",6622,9362,3410,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com#panel_000,_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-28.0934,-327.3572,584.2392,396.7494","-28.0934,-327.3572,584.2392,396.7494","0.0,0.0,6622.0,9362.0",6622,9362,3131,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com#panel_000,_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.2328,-334.7819,559.0,389.1462","-25.2328,-334.7819,559.0,389.1462","0.0,0.0,6622.0,9362.0",6622,9362,1602,datas/qa_and_png/P1_oda_output/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com#panel_000,_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-26.9006,-336.1797,542.2498,384.3762","-26.9006,-336.1797,542.2498,384.3762","0.0,0.0,6622.0,9362.0",6622,9362,1520,datas/qa_and_png/P1_oda_output/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com#panel_000,_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.0,-340.2083,1691.385,1643.4128","-25.0,-340.2083,1691.385,1643.4128","0.0,0.0,6622.0,9362.0",6622,9362,3273,datas/qa_and_png/P1_oda_output/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com#panel_000,_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-26.2262,-320.869,818.7589,541.923","-26.2262,-320.869,818.7589,541.923","0.0,0.0,6622.0,9362.0",6622,9362,9006,datas/qa_and_png/P1_oda_output/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com#panel_000,_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.json,0,1,val,P1,_P1_staging,full,"-25.0,-345.9343,999.2498,565.1927","-25.0,-345.9343,999.2498,565.1927","0.0,0.0,9362.0,6622.0",9362,6622,4783,datas/qa_and_png/P1_oda_output/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com#panel_000,_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.3524,-332.9726,1178.3715,397.9096","-25.3524,-332.9726,1178.3715,397.9096","0.0,0.0,9362.0,6622.0",9362,6622,6830,datas/qa_and_png/P1_oda_output/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.png,False,,,,False,True
