panel_id,parent_drawing_key,panel_index,panel_count,split,split_method,panel_bbox_png,panel_png_path,status,comment
_P1_staging/001 220kV变电站电气主接线图#panel_000,_P1_staging/001 220kV变电站电气主接线图,0,1,train,candidate_full_fallback,"0.0,0.0,9362.0,6622.0",datas/qa_and_png/P1_oda_output/001 220kV变电站电气主接线图.png,reject,空白图
_P1_staging/02-主接线wm666.taobao.com#panel_000,_P1_staging/02-主接线wm666.taobao.com,0,5,train,image_components,"1544.0,992.0,2987.0,2028.0",outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_000.png,accept,
_P1_staging/02-主接线wm666.taobao.com#panel_001,_P1_staging/02-主接线wm666.taobao.com,1,5,train,image_components,"4605.0,2828.0,6112.0,3897.0",outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_001.png,accept,
_P1_staging/02-主接线wm666.taobao.com#panel_002,_P1_staging/02-主接线wm666.taobao.com,2,5,train,image_components,"6765.0,2844.0,9359.0,3875.0",outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_002.png,accept,
_P1_staging/02-主接线wm666.taobao.com#panel_003,_P1_staging/02-主接线wm666.taobao.com,3,5,train,image_components,"1146.0,2914.0,3285.0,3950.0",outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_003.png,accept,
_P1_staging/02-主接线wm666.taobao.com#panel_004,_P1_staging/02-主接线wm666.taobao.com,4,5,train,image_components,"1146.0,4595.0,3285.0,5631.0",outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_004.png,accept,
_P1_staging/05电气主接线#panel_000,_P1_staging/05电气主接线,0,5,train,image_components,"0.0,1634.0,4615.0,4914.0",outputs/panels/P1/P1_staging__05电气主接线__panel_000.png,accept,
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,1,5,train,image_components,"158.0,1706.0,4540.0,4841.0",outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,accept,
_P1_staging/05电气主接线#panel_002,_P1_staging/05电气主接线,2,5,train,image_components,"4771.0,1710.0,9362.0,4989.0",outputs/panels/P1/P1_staging__05电气主接线__panel_002.png,reject,
_P1_staging/05电气主接线#panel_003,_P1_staging/05电气主接线,3,5,train,image_components,"5035.0,1760.0,9337.0,4940.0",outputs/panels/P1/P1_staging__05电气主接线__panel_003.png,reject,
_P1_staging/05电气主接线#panel_004,_P1_staging/05电气主接线,4,5,train,image_components,"5155.0,1963.0,9254.0,4695.0",outputs/panels/P1/P1_staging__05电气主接线__panel_004.png,reject,
_P1_staging/110Kv变电站直流系统接线图#panel_000,_P1_staging/110Kv变电站直流系统接线图,0,2,val,image_components,"0.0,0.0,9362.0,6622.0",outputs/panels/P1/P1_staging__110Kv变电站直流系统接线图__panel_000.png,accept,
_P1_staging/110Kv变电站直流系统接线图#panel_001,_P1_staging/110Kv变电站直流系统接线图,1,2,val,image_components,"7392.0,4555.0,9156.0,5549.0",outputs/panels/P1/P1_staging__110Kv变电站直流系统接线图__panel_001.png,reject,
_P1_staging/110Kv变电站直流系统接线图wm666.taobao.com#panel_000,_P1_staging/110Kv变电站直流系统接线图wm666.taobao.com,0,2,train,image_components,"0.0,0.0,9362.0,6622.0",outputs/panels/P1/P1_staging__110Kv变电站直流系统接线图wm666.taobao.com__panel_000.png,accept,
_P1_staging/110Kv变电站直流系统接线图wm666.taobao.com#panel_001,_P1_staging/110Kv变电站直流系统接线图wm666.taobao.com,1,2,train,image_components,"7392.0,4555.0,9156.0,5549.0",outputs/panels/P1/P1_staging__110Kv变电站直流系统接线图wm666.taobao.com__panel_001.png,reject,
_P1_staging/110kV变电站GIS布置平面图#panel_000,_P1_staging/110kV变电站GIS布置平面图,0,5,train,image_components,"903.0,0.0,5707.0,6622.0",outputs/panels/P1/P1_staging__110kV变电站GIS布置平面图__panel_000.png,reject,
_P1_staging/110kV变电站GIS布置平面图#panel_001,_P1_staging/110kV变电站GIS布置平面图,1,5,train,image_components,"5723.0,108.0,8429.0,3443.0",outputs/panels/P1/P1_staging__110kV变电站GIS布置平面图__panel_001.png,reject,
