drawing_key,split,phase,normalized_json_path,topology_json_path,status,node_count,edge_count,candidate_segment_count,net_count,topology_ready,largest_net_edges,isolated_edge_count,isolated_edge_ratio,largest_net_edge_ratio,skipped_short_segments,skipped_same_node_segments,graph_bbox,edge_type_count_json,effective_endpoint_tolerance,quality_flags,topology_review_label,topology_review_comment,topology_reviewed,topology_v0_accepted,topology_v1_candidate,topology_exclude_reason
_P2_staging/35KV变电所所用变单元端子图,train,P2,outputs/normalized_geometry/_P2_staging/35KV变电所所用变单元端子图.normalized.json,outputs/topology_graph/_P2_staging/35KV变电所所用变单元端子图.topology.v0.json,ok,191,398,399,17,True,352,8,0.0201,0.8844,1,0,"3083.7414,-2053.6517,3503.7414,-1756.6517","{""LINE"": 21, ""LWPOLYLINE"": 377}",1.0,dominant_component,bad_geometry,,True,False,False,bad_geometry
_P2_staging/35kv江鑫－6kv馈线开关柜端子排图,train,P2,outputs/normalized_geometry/_P2_staging/35kv江鑫－6kv馈线开关柜端子排图.normalized.json,outputs/topology_graph/_P2_staging/35kv江鑫－6kv馈线开关柜端子排图.topology.v0.json,ok,486,264,264,233,True,4,216,0.8182,0.0152,0,0,"-794.4396,-1640.4948,-136.5191,-1211.9599","{""LINE"": 250, ""LWPOLYLINE"": 14}",0.3926,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P2_staging/35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com,test,P2,outputs/normalized_geometry/_P2_staging/35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com.topology.v0.json,ok,486,264,264,233,True,4,216,0.8182,0.0152,0,0,"-794.4396,-1640.4948,-136.5191,-1211.9599","{""LINE"": 250, ""LWPOLYLINE"": 14}",0.3926,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.0053,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.2772,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.0086,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.2791,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-1).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-1).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.004,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-2).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-2).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.2764,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/移动变电所 (gb4728-11_2.12-2),val,P2,outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728-11_2.12-2).normalized.json,outputs/topology_graph/_P2_staging/移动变电所 (gb4728-11_2.12-2).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.2765,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
