panel_id,parent_drawing_key,parent_drawing_id,parent_png_path,parent_raw_json_path,panel_index,panel_count,split,phase,batch,split_method,panel_bbox_png,parent_png_width,parent_png_height,panel_png_width,panel_png_height,panel_area_ratio,panel_png_path,status,quality_flags,usable_for_topology_panel_pilot,comment
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000,_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,datas/qa_and_png/P1_oda_output/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.png,datas/raw_json/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.json,0,2,val,P1,_P1_staging,manual_topology_multipanel,"1190.0,29.0,8251.0,3236.0",9362,6622,7061,3207,0.365264,outputs/topology_multipanel_panels/P1/P1_staging__主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000.png,accept,,True,
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001,_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,datas/qa_and_png/P1_oda_output/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.png,datas/raw_json/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.json,1,2,val,P1,_P1_staging,manual_topology_multipanel,"1166.0,3353.0,6064.0,6570.0",9362,6622,4898,3217,0.254163,outputs/topology_multipanel_panels/P1/P1_staging__主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001.png,accept,,True,
_P1_staging/主变及并网线保护屏端子图#manual_panel_000,_P1_staging/主变及并网线保护屏端子图,主变及并网线保护屏端子图,datas/qa_and_png/P1_oda_output/主变及并网线保护屏端子图.png,datas/raw_json/_P1_staging/主变及并网线保护屏端子图.json,0,2,val,P1,_P1_staging,manual_topology_multipanel,"83.0,1778.0,4398.0,4849.0",9362,6622,4315,3071,0.213748,outputs/topology_multipanel_panels/P1/P1_staging__主变及并网线保护屏端子图#manual_panel_000.png,accept,,True,
_P1_staging/主变及并网线保护屏端子图#manual_panel_001,_P1_staging/主变及并网线保护屏端子图,主变及并网线保护屏端子图,datas/qa_and_png/P1_oda_output/主变及并网线保护屏端子图.png,datas/raw_json/_P1_staging/主变及并网线保护屏端子图.json,1,2,val,P1,_P1_staging,manual_topology_multipanel,"4951.0,1764.0,9276.0,4864.0",9362,6622,4325,3100,0.216267,outputs/topology_multipanel_panels/P1/P1_staging__主变及并网线保护屏端子图#manual_panel_001.png,accept,,True,
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000,_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,datas/qa_and_png/P2_oda_output/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.png,datas/raw_json/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.json,0,2,train,P2,_P2_staging,manual_topology_multipanel,"58.0,739.0,9310.0,3591.0",9362,6622,9252,2852,0.425625,outputs/topology_multipanel_panels/P2/P2_staging__220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000.png,accept,,True,
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001,_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,datas/qa_and_png/P2_oda_output/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.png,datas/raw_json/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.json,1,2,train,P2,_P2_staging,manual_topology_multipanel,"49.0,3897.0,5938.0,5889.0",9362,6622,5889,1992,0.189223,outputs/topology_multipanel_panels/P2/P2_staging__220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001.png,accept,,True,
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000,_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,datas/qa_and_png/P3_oda_output/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.png,datas/raw_json/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.json,0,2,train,P3,_P3_staging_batch3,manual_topology_multipanel,"1395.0,19.0,8022.0,3780.0",9362,6622,6627,3761,0.402034,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000.png,accept,,True,
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,datas/qa_and_png/P3_oda_output/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.png,datas/raw_json/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.json,1,2,train,P3,_P3_staging_batch3,manual_topology_multipanel,"1365.0,3887.0,5151.0,6589.0",9362,6622,3786,2702,0.165009,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001.png,accept,,True,
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,datas/qa_and_png/P3_oda_output/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.png,datas/raw_json/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.json,1,4,val,P3,_P3_staging_batch3,manual_topology_multipanel,"141.0,5.0,9281.0,4203.0",9362,6622,9140,4198,0.618915,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001.png,accept,,True,
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,datas/qa_and_png/P3_oda_output/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.png,datas/raw_json/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.json,2,4,val,P3,_P3_staging_batch3,manual_topology_multipanel,"190.0,4446.0,3294.0,6579.0",9362,6622,3104,2133,0.106796,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002.png,accept,,True,
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_003,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,datas/qa_and_png/P3_oda_output/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.png,datas/raw_json/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.json,3,4,val,P3,_P3_staging_batch3,manual_topology_multipanel,"3464.0,4451.0,6555.0,6618.0",9362,6622,3091,2167,0.108044,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_003.png,accept,,True,
_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_000,_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com,PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com,datas/qa_and_png/P3_oda_output/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com.png,datas/raw_json/_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com.json,0,3,train,P3,_P3_staging_batch3,manual_topology_multipanel,"209.0,53.0,9193.0,4247.0",9362,6622,8984,4194,0.607772,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_000.png,accept,,True,
