panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason,topology_panel_v1_policy_decision,topology_panel_v1_policy_exclude_reason,topology_panel_v1_release_id,topology_panel_v1_release_partition,topology_panel_v1_release_use,topology_panel_v1_release_exclude_reason,topology_panel_v1_release_is_baseline,topology_panel_v1_release_is_badcase,topology_panel_v1_release_is_improvement_target,topology_panel_v1_release_is_reviewed,panel_png_exists,topology_v1_panel_json_exists,topology_panel_v1_1_policy_id,topology_panel_v1_1_original_improvement_reason,topology_panel_v1_1_diagnostic_label,topology_panel_v1_1_diagnostic_reason,topology_panel_v1_1_panel_line_like_entity_count,topology_panel_v1_1_panel_total_entity_count,topology_panel_v1_1_still_empty,topology_panel_v1_1_candidate_improved,topology_panel_v1_1_abandoned,topology_panel_v1_1_decision,topology_panel_v1_1_decision_reason,topology_panel_v1_1_next_route
_P1_staging/某电厂GIS室接地布置图#panel_000,_P1_staging/某电厂GIS室接地布置图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/某电厂GIS室接地布置图.png,"43099.1058,22761.7209,64053.6313,81235.6089",outputs/normalized_geometry/_P1_staging/某电厂GIS室接地布置图.normalized.json,outputs/topology_graph/_P1_staging/某电厂GIS室接地布置图.topology.v0.json,outputs/topology_panel_v1/_P1_staging/某电厂GIS室接地布置图#panel_000.topology.v1.json,ok,,11013,9692,40032,31835,51661,73,4678,15994,142,0.0011,0.8954,1.0,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.92,True,Extremely high intersection count and abnormally large single net edge ratio indicate the topology is incorrectly connecting unrelated visual line crossings as valid connections.,Intersection count (31835) is vastly higher than base segment count (9692); Largest net edge ratio of 0.8954 shows nearly 90% of edges are grouped into one net incorrectly; Anomaly type flagged as normal_high_intersection,over_connected,model: Extremely high intersection count and abnormally large single net edge ratio indicate the topology is incorrectly connecting unrelated visual line crossings as valid connections.,True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_000,_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com,train,P1,_P1_staging,0,3,image_components,outputs/panels/P1/P1_staging__主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com__panel_000.png,"-0.0,-42.36,608.9648,159.4622",outputs/normalized_geometry/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_000.topology.v1.json,ok,,347,128,592,291,472,0,399,590,1,0.0,1.0,0.3208,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,over_connected,0.9,True,"Topology graph incorrectly merged all distinct wiring circuits into a single net, likely by connecting non-electrical visual crossings between wiring and background grid lines.",Multiple separate discrete wiring circuits are visible in the diagram; v1_net_count is 1 despite multiple independent circuits present; v1_largest_net_edge_ratio is 1.0 indicating all edges are incorrectly grouped as one connected net; High intersection count (291) likely from background grid lines crossing wiring paths,over_connected,"model: Topology graph incorrectly merged all distinct wiring circuits into a single net, likely by connecting non-electrical visual crossings between wiring and background grid lines.",True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch1/500KVA有载调压箱变系统图#panel_000,_P3_staging_batch1/500KVA有载调压箱变系统图,test,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/500KVA有载调压箱变系统图.png,"1550.0,-5.0,2939.3734,415.0",outputs/normalized_geometry/_P3_staging_batch1/500KVA有载调压箱变系统图.normalized.json,outputs/topology_graph/_P3_staging_batch1/500KVA有载调压箱变系统图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/500KVA有载调压箱变系统图#panel_000.topology.v1.json,ok,,794,530,42955,21811,42821,0,21097,42471,14,0.0002,0.996,0.7257,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,over_connected,0.9,True,"Abnormally high node, edge and intersection counts with nearly all edges grouped into one net indicate the topology incorrectly connected visual crossings and unrelated regions.","v1_node_count is 21097, v1_edge_count is 42471, intersection_count is 21811, all far exceed expected values for this single system diagram; v1_largest_net_edge_ratio is 0.996 meaning over 99% of edges are assigned to a single net",over_connected,"model: Abnormally high node, edge and intersection counts with nearly all edges grouped into one net indicate the topology incorrectly connected visual crossings and unrelated regions.",True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)#panel_000,_P3_staging_batch3/WGB-114N 馈线保护原理图(手车),train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/WGB-114N 馈线保护原理图(手车).png,"0.6113,3.5965,1326.9946,300.5965",outputs/normalized_geometry/_P3_staging_batch3/WGB-114N 馈线保护原理图(手车).normalized.json,outputs/topology_graph/_P3_staging_batch3/WGB-114N 馈线保护原理图(手车).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)#panel_000.topology.v1.json,ok,,4536,3837,35553,22386,44431,2613,2123,4627,235,0.0255,0.2725,0.6796,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.9,True,Abnormally high intersection count indicates the topology graph likely incorrectly connects visually crossing unrelated line segments.,"Reported intersection count reaches 22386, far exceeding expected valid connection count for the diagram; Anomaly type is explicitly flagged as normal_high_intersection",over_connected,model: Abnormally high intersection count indicates the topology graph likely incorrectly connects visually crossing unrelated line segments.,True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)__286#panel_000,_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)__286,train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/WGB-114N 馈线保护原理图(手车)__286.png,"0.6113,3.5965,1326.9946,300.5965",outputs/normalized_geometry/_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)__286.normalized.json,outputs/topology_graph/_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)__286.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch3/WGB-114N 馈线保护原理图(手车)__286#panel_000.topology.v1.json,ok,,4536,3837,35553,22386,44431,2613,2123,4627,235,0.0255,0.2725,0.6796,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.85,True,Extremely high intersection count relative to total edge count indicates visual line crossings are likely incorrectly connected in the generated topology graph.,"intersection_count = 22386, far exceeding v1_edge_count = 4627; anomaly_type flagged as normal_high_intersection",over_connected,model: Extremely high intersection count relative to total edge count indicates visual line crossings are likely incorrectly connected in the generated topology graph.,True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车)#panel_000,_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车),val,P3,_P3_staging_batch4,0,1,full,datas/qa_and_png/P3_oda_output/WGB-124N 高压柜综合保护原理图(手车).png,"0.6113,3.5965,1326.9946,300.5965",outputs/normalized_geometry/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车).normalized.json,outputs/topology_graph/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车)#panel_000.topology.v1.json,ok,,4536,3834,35549,22385,44430,2613,2083,4613,236,0.0249,0.2734,0.6796,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.85,True,Abnormally high intersection count indicates visual line crossings are likely incorrectly connected in the generated topology graph.,Intersection count of 22385 is extremely high for this schematic size; Anomaly type is marked as normal_high_intersection,over_connected,model: Abnormally high intersection count indicates visual line crossings are likely incorrectly connected in the generated topology graph.,True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch3/WGB-113N 馈线保护原理图(手车)#panel_000,_P3_staging_batch3/WGB-113N 馈线保护原理图(手车),train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/WGB-113N 馈线保护原理图(手车).png,"-30.3175,-145.7021,1296.0658,151.2979",outputs/normalized_geometry/_P3_staging_batch3/WGB-113N 馈线保护原理图(手车).normalized.json,outputs/topology_graph/_P3_staging_batch3/WGB-113N 馈线保护原理图(手车).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch3/WGB-113N 馈线保护原理图(手车)#panel_000.topology.v1.json,ok,,4531,3827,35662,22424,44507,2612,2076,4581,241,0.0264,0.2991,0.6796,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.9,True,Extremely high intersection count indicates the topology graph is incorrectly connecting visual line crossings that are not actual electrical connections.,Intersection count of 22424 is anomalously high for this schematic size; Schematic contains many non-connected crossing lines typical of protection schematics,over_connected,model: Extremely high intersection count indicates the topology graph is incorrectly connecting visual line crossings that are not actual electrical connections.,True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch4/WGB-123N 高压柜综合保护原理图(手车)#panel_000,_P3_staging_batch4/WGB-123N 高压柜综合保护原理图(手车),train,P3,_P3_staging_batch4,0,1,full,datas/qa_and_png/P3_oda_output/WGB-123N 高压柜综合保护原理图(手车).png,"0.6113,3.5965,1326.9946,300.5965",outputs/normalized_geometry/_P3_staging_batch4/WGB-123N 高压柜综合保护原理图(手车).normalized.json,outputs/topology_graph/_P3_staging_batch4/WGB-123N 高压柜综合保护原理图(手车).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch4/WGB-123N 高压柜综合保护原理图(手车)#panel_000.topology.v1.json,ok,,4576,3863,35635,22385,44424,2606,2114,4576,241,0.0273,0.2653,0.6796,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.85,True,"Extremely high intersection count indicates most visual line crossings are likely incorrectly connected, resulting in an over-connected topology graph.",Intersection count is abnormally high at 22385; High density of line crossings across the schematic diagram,over_connected,"model: Extremely high intersection count indicates most visual line crossings are likely incorrectly connected, resulting in an over-connected topology graph.",True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P3_staging_batch1/06(背面通讯接线图)#panel_000,_P3_staging_batch1/06(背面通讯接线图),train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/06(背面通讯接线图).png,"35.8945,7.7001,416.5994,274.0976",outputs/normalized_geometry/_P3_staging_batch1/06(背面通讯接线图).normalized.json,outputs/topology_graph/_P3_staging_batch1/06(背面通讯接线图).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/06(背面通讯接线图)#panel_000.topology.v1.json,ok,,450,262,990,474,728,0,630,990,1,0.0,1.0,0.2323,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,over_connected,0.85,True,"Extracted topology incorrectly merges all wiring into a single net, likely caused by misclassifying visual line crossings as valid electrical connections.","v1_net_count is 1 with 100% of edges assigned to the single largest net; 474 line intersections are present in the diagram, most are not valid connections; Multiple distinct signal wire pairs exist that should be separate topology nets",over_connected,"model: Extracted topology incorrectly merges all wiring into a single net, likely caused by misclassifying visual line crossings as valid electrical connections.",True,False,over_connected,improvement_target,over_connected,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,over_connected,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,over_connected,,,,,,,False,active_improvement,reserved for crossing-line disambiguation work,over_connected_repair
_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_001,_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com,train,P1,_P1_staging,1,3,image_components,outputs/panels/P1/P1_staging__主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com__panel_001.png,"32.2783,23.4066,600.5044,121.0199",outputs/normalized_geometry/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_001.topology.v1.json,ok,,98,26,42,16,16,0,35,42,1,0.0,1.0,0.2883,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,needs_terminal_anchor,0.9,True,The topology line graph is structurally plausible but requires terminal/symbol anchors for semantic correctness.,Single coherent terminal block wiring diagram with no independent sub-panels; Wiring lines are present but not yet anchored to the marked terminal identifiers and target device labels,needs_terminal_anchor,model: The topology line graph is structurally plausible but requires terminal/symbol anchors for semantic correctness.,True,False,needs_terminal_anchor,improvement_target,needs_terminal_anchor,topology_panel_v1_2026-07-08,improvement_target,topology_algorithm_improvement,needs_terminal_anchor,False,False,True,True,True,True,topology_panel_v1_1_abandoned_policy_2026-07-08,needs_terminal_anchor,,,,,,,False,active_improvement,reserved for terminal or symbol anchor work,terminal_anchor_module
