panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason,topology_panel_v1_policy_decision,topology_panel_v1_policy_exclude_reason,v1_5_candidate_score,v1_5_candidate_bucket,v1_5_candidate_reasons,v1_5_target_task,agentic_annotation_status,agentic_phase,agentic_split,agentic_panel_png_path,agentic_topology_v1_panel_json_path,agentic_v1_5_candidate_score,agentic_v1_5_candidate_bucket,agentic_known_policy_decision,agentic_known_review_label,agentic_consensus_label,agentic_consensus_decision,agentic_consensus_confidence,agentic_agreement_count,agentic_agent_count,agentic_reason
_P1_staging/某电厂GIS室接地布置图#panel_000,_P1_staging/某电厂GIS室接地布置图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/某电厂GIS室接地布置图.png,"43099.1058,22761.7209,64053.6313,81235.6089",outputs/normalized_geometry/_P1_staging/某电厂GIS室接地布置图.normalized.json,outputs/topology_graph/_P1_staging/某电厂GIS室接地布置图.topology.v0.json,outputs/topology_panel_v1/_P1_staging/某电厂GIS室接地布置图#panel_000.topology.v1.json,ok,,11013,9692,40032,31835,51661,73,4678,15994,142,0.0011,0.8954,1.0,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.92,True,Extremely high intersection count and abnormally large single net edge ratio indicate the topology is incorrectly connecting unrelated visual line crossings as valid connections.,Intersection count (31835) is vastly higher than base segment count (9692); Largest net edge ratio of 0.8954 shows nearly 90% of edges are grouped into one net incorrectly; Anomaly type flagged as normal_high_intersection,over_connected,model: Extremely high intersection count and abnormally large single net edge ratio indicate the topology is incorrectly connecting unrelated visual line crossings as valid connections.,True,False,over_connected,improvement_target,over_connected,78,medium_priority,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;low_isolated_edge_ratio;dominant_connected_component;known_improvement_target,clean_single_panel_topology,pending,P1,train,datas/qa_and_png/P1_oda_output/某电厂GIS室接地布置图.png,outputs/topology_panel_v1/_P1_staging/某电厂GIS室接地布置图#panel_000.topology.v1.json,78,medium_priority,improvement_target,over_connected,reject_visible_watermark,auto_reject,1.0,1,1,1/1 agents voted reject_visible_watermark
_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车)#panel_000,_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车),val,P3,_P3_staging_batch4,0,1,full,datas/qa_and_png/P3_oda_output/WGB-124N 高压柜综合保护原理图(手车).png,"0.6113,3.5965,1326.9946,300.5965",outputs/normalized_geometry/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车).normalized.json,outputs/topology_graph/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车)#panel_000.topology.v1.json,ok,,4536,3834,35549,22385,44430,2613,2083,4613,236,0.0249,0.2734,0.6796,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,over_connected,0.85,True,Abnormally high intersection count indicates visual line crossings are likely incorrectly connected in the generated topology graph.,Intersection count of 22385 is extremely high for this schematic size; Anomaly type is marked as normal_high_intersection,over_connected,model: Abnormally high intersection count indicates visual line crossings are likely incorrectly connected in the generated topology graph.,True,False,over_connected,improvement_target,over_connected,68,medium_priority,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;known_improvement_target,clean_single_panel_topology,pending,P3,val,datas/qa_and_png/P3_oda_output/WGB-124N 高压柜综合保护原理图(手车).png,outputs/topology_panel_v1/_P3_staging_batch4/WGB-124N 高压柜综合保护原理图(手车)#panel_000.topology.v1.json,68,medium_priority,improvement_target,over_connected,reject_visible_watermark,auto_reject,1.0,1,1,1/1 agents voted reject_visible_watermark
_P3_staging_batch1/1(监控系统及继电保护图纸目录)#panel_000,_P3_staging_batch1/1(监控系统及继电保护图纸目录),train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/1(监控系统及继电保护图纸目录).png,"-1208.4088,2.0,393.2299,742.394",outputs/normalized_geometry/_P3_staging_batch1/1(监控系统及继电保护图纸目录).normalized.json,outputs/topology_graph/_P3_staging_batch1/1(监控系统及继电保护图纸目录).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/1(监控系统及继电保护图纸目录)#panel_000.topology.v1.json,ok,,78,28,224,128,208,0,120,224,1,0.0,1.0,0.8822,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,not_topology_target,1.0,True,"The panel is a drawing catalog table, not a wiring/topology graph target.",Panel title explicitly states it is a monitoring system and relay protection drawing directory; Content is a table listing drawing numbers and device details with no topology wiring lines present,not_topology_target,"model: The panel is a drawing catalog table, not a wiring/topology graph target.",True,False,not_topology_target,badcase,not_topology_target,54,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;moderate_graph_scale;small_net_count;low_isolated_edge_ratio;dominant_connected_component;quality_flags:dominant_component;known_badcase,clean_single_panel_topology,pending,P3,train,datas/qa_and_png/P3_oda_output/1(监控系统及继电保护图纸目录).png,outputs/topology_panel_v1/_P3_staging_batch1/1(监控系统及继电保护图纸目录)#panel_000.topology.v1.json,54,negative_control_badcase,badcase,not_topology_target,reject_not_topology,auto_reject,1.0,1,1,1/1 agents voted reject_not_topology
_P3_staging_batch4/电机保护原理图#panel_000,_P3_staging_batch4/电机保护原理图,val,P3,_P3_staging_batch4,0,1,full,datas/qa_and_png/P3_oda_output/电机保护原理图.png,"-3487.0056,40.812,521.948,660.6019",outputs/normalized_geometry/_P3_staging_batch4/电机保护原理图.normalized.json,outputs/topology_graph/_P3_staging_batch4/电机保护原理图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch4/电机保护原理图#panel_000.topology.v1.json,ok,,131,62,246,152,187,0,124,236,1,0.0,1.0,1.0,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,bad_geometry,0.9,True,"The panel is almost entirely blank with only a tiny unreadable fragment of a sheet border visible, no usable topology content is present.","Majority of the panel area is empty white space; Only a minuscule faint sheet outline exists, no visible wiring or schematic elements",bad_geometry,"model: The panel is almost entirely blank with only a tiny unreadable fragment of a sheet border visible, no usable topology content is present.",True,False,bad_geometry,badcase,bad_geometry,54,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;moderate_graph_scale;small_net_count;low_isolated_edge_ratio;dominant_connected_component;quality_flags:dominant_component;known_badcase,clean_single_panel_topology,pending,P3,val,datas/qa_and_png/P3_oda_output/电机保护原理图.png,outputs/topology_panel_v1/_P3_staging_batch4/电机保护原理图#panel_000.topology.v1.json,54,negative_control_badcase,badcase,bad_geometry,reject_bad_geometry,auto_reject,1.0,1,1,1/1 agents voted reject_bad_geometry
_P2_staging/变电所-巳改期目录#panel_000,_P2_staging/变电所-巳改期目录,test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所-巳改期目录.png,"8034531.1255,545742.1282,8470681.4775,613873.4436",outputs/normalized_geometry/_P2_staging/变电所-巳改期目录.normalized.json,outputs/topology_graph/_P2_staging/变电所-巳改期目录.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所-巳改期目录#panel_000.topology.v1.json,ok,,6690,5831,219560,109382,214154,51,113420,218933,408,0.0008,0.4734,1.0,,normal,normal_high_intersection,Spot-check accepted-looking high-intersection samples.,needs_panel_split,0.99,True,The image contains multiple independent separated diagram panels that must be split before topology graph processing.,Nine distinct numbered drawing panels (15 to 23) with individual borders are present; Each panel has independent content with no visual connections between separate panels,needs_panel_split,model: The image contains multiple independent separated diagram panels that must be split before topology graph processing.,True,False,needs_panel_split,badcase,multi_subfigure_badcase,46,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;low_isolated_edge_ratio;known_badcase,clean_single_panel_topology,pending,P2,test,datas/qa_and_png/P2_oda_output/变电所-巳改期目录.png,outputs/topology_panel_v1/_P2_staging/变电所-巳改期目录#panel_000.topology.v1.json,46,negative_control_badcase,badcase,needs_panel_split,reject_multi_subfigure,auto_reject,1.0,1,1,1/1 agents voted reject_multi_subfigure
_P2_staging/35KV变电站总平面图#panel_000,_P2_staging/35KV变电站总平面图,test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/35KV变电站总平面图.png,"0.0,0.0,420.0,297.0",outputs/normalized_geometry/_P2_staging/35KV变电站总平面图.normalized.json,outputs/topology_graph/_P2_staging/35KV变电站总平面图.topology.v0.json,outputs/topology_panel_v1/_P2_staging/35KV变电站总平面图#panel_000.topology.v1.json,ok,,1786,1686,10910,6538,12114,80,4673,10170,19,0.0013,0.9958,0.2572,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,not_topology_target,0.95,True,"The panel is a substation site layout and building plan, not a wiring/topology graph target.","Contains site dimension lines and building footprint outlines; Title block explicitly identifies it as electrical layout and office area general plan; Shows site zoning (green belts, business hall, equipment rooms) rather than circuit wiring connections",not_topology_target,"model: The panel is a substation site layout and building plan, not a wiring/topology graph target.",True,False,not_topology_target,badcase,not_topology_target,44,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;small_net_count;low_isolated_edge_ratio;dominant_connected_component;quality_flags:dominant_component;known_badcase,clean_single_panel_topology,pending,P2,test,datas/qa_and_png/P2_oda_output/35KV变电站总平面图.png,outputs/topology_panel_v1/_P2_staging/35KV变电站总平面图#panel_000.topology.v1.json,44,negative_control_badcase,badcase,not_topology_target,reject_not_topology,auto_reject,1.0,1,1,1/1 agents voted reject_not_topology
_P2_staging/直流系统级差3(220kV保护室）wm666.taobao.com#panel_000,_P2_staging/直流系统级差3(220kV保护室）wm666.taobao.com,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/直流系统级差3(220kV保护室）wm666.taobao.com.png,"11486.2765,-12146.1542,32898.5981,1873.5629",outputs/normalized_geometry/_P2_staging/直流系统级差3(220kV保护室）wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/直流系统级差3(220kV保护室）wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/直流系统级差3(220kV保护室）wm666.taobao.com#panel_000.topology.v1.json,ok,,2403,1781,3238,1460,1461,0,2095,3237,2,0.0,0.9978,1.0,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.85,True,"The panel contains a single coherent DC system hierarchical topology diagram, the v1 graph is largely connected with almost all edges belonging to one net, usable as a baseline.",Single unified title block for the entire panel; Diagram represents an integrated 220kV protection room DC system coordination topology; v1 largest net edge ratio is 0.9978 indicating near-fully connected graph,bad_geometry,"model: The panel contains a single coherent DC system hierarchical topology diagram, the v1 graph is largely connected with almost all edges belonging to one net, usable as a baseline.",True,False,bad_geometry,badcase,bad_geometry,44,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;small_net_count;low_isolated_edge_ratio;dominant_connected_component;quality_flags:dominant_component;known_badcase,clean_single_panel_topology,pending,P2,train,datas/qa_and_png/P2_oda_output/直流系统级差3(220kV保护室）wm666.taobao.com.png,outputs/topology_panel_v1/_P2_staging/直流系统级差3(220kV保护室）wm666.taobao.com#panel_000.topology.v1.json,44,negative_control_badcase,badcase,bad_geometry,reject_bad_geometry,auto_reject,0.95,1,1,1/1 agents voted reject_bad_geometry
_P3_staging_batch1/3.10.9室外保护罩#panel_000,_P3_staging_batch1/3.10.9室外保护罩,train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/3.10.9室外保护罩.png,"2454.6021,2010.5605,2784.2668,2183.6573",outputs/normalized_geometry/_P3_staging_batch1/3.10.9室外保护罩.normalized.json,outputs/topology_graph/_P3_staging_batch1/3.10.9室外保护罩.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/3.10.9室外保护罩#panel_000.topology.v1.json,ok,,12,12,18,6,6,0,15,18,1,0.0,1.0,0.1862,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,not_topology_target,0.9,True,"The panel is a mechanical layout drawing of an outdoor protection cover, not a wiring/topology graph target.","Only simple enclosure outline shapes are present; No circuit symbols, wiring connections, or topology elements are visible",not_topology_target,"model: The panel is a mechanical layout drawing of an outdoor protection cover, not a wiring/topology graph target.",True,False,not_topology_target,badcase,not_topology_target,44,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;small_net_count;low_isolated_edge_ratio;dominant_connected_component;quality_flags:dominant_component;known_badcase,clean_single_panel_topology,pending,P3,train,datas/qa_and_png/P3_oda_output/3.10.9室外保护罩.png,outputs/topology_panel_v1/_P3_staging_batch1/3.10.9室外保护罩#panel_000.topology.v1.json,44,negative_control_badcase,badcase,not_topology_target,reject_not_topology,auto_reject,0.99,1,1,1/1 agents voted reject_not_topology
_P3_staging_batch1/装在发电机保护屏上的端子图29#panel_000,_P3_staging_batch1/装在发电机保护屏上的端子图29,train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/装在发电机保护屏上的端子图29.png,"-118.8447,-525.2341,518.2479,-73.2611",outputs/normalized_geometry/_P3_staging_batch1/装在发电机保护屏上的端子图29.normalized.json,outputs/topology_graph/_P3_staging_batch1/装在发电机保护屏上的端子图29.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/装在发电机保护屏上的端子图29#panel_000.topology.v1.json,ok,,613,347,2836,1414,2504,0,1554,2702,5,0.0007,0.9963,0.3906,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.85,True,"Single coherent generator protection terminal wiring diagram, no visible splits or corruption, v1 topology appears suitable as a baseline.",Unified single panel layout with no independent sub-diagrams; Clear terminal grid and associated wiring connections are visible; Single matching title block confirms one coherent diagram,not_topology_target,"model: Single coherent generator protection terminal wiring diagram, no visible splits or corruption, v1 topology appears suitable as a baseline.",True,False,not_topology_target,badcase,not_topology_target,44,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;small_net_count;low_isolated_edge_ratio;dominant_connected_component;quality_flags:dominant_component;known_badcase,clean_single_panel_topology,pending,P3,train,datas/qa_and_png/P3_oda_output/装在发电机保护屏上的端子图29.png,outputs/topology_panel_v1/_P3_staging_batch1/装在发电机保护屏上的端子图29#panel_000.topology.v1.json,44,negative_control_badcase,badcase,not_topology_target,reject_not_topology,auto_reject,1.0,1,1,1/1 agents voted reject_not_topology
_P2_staging/防爆式移动变电所 (gb4728_11_2.13-1)#panel_000,_P2_staging/防爆式移动变电所 (gb4728_11_2.13-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/防爆式移动变电所 (gb4728_11_2.13-1).png,"496.3606,-233.3127,501.3606,-227.4814",outputs/normalized_geometry/_P2_staging/防爆式移动变电所 (gb4728_11_2.13-1).normalized.json,outputs/topology_graph/_P2_staging/防爆式移动变电所 (gb4728_11_2.13-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/防爆式移动变电所 (gb4728_11_2.13-1)#panel_000.topology.v1.json,ok,,4,1,1,0,0,0,2,1,1,1.0,1.0,0.0038,high_isolated_ratio;dominant_component,medium,high_isolated_ratio,Review endpoint merge tolerance or geometry fragmentation.,not_topology_target,0.85,True,The panel contains a standalone symbolic graphic instead of a complete wiring/topology diagram target.,No interconnected topology wiring or multiple functional components present; Only a single half-filled circle symbol with two empty circular markers is visible,bad_geometry,model: The panel contains a standalone symbolic graphic instead of a complete wiring/topology diagram target.,True,False,bad_geometry,badcase,bad_geometry,38,negative_control_badcase,status_ok;single_full_panel;one_panel;image_exists;graph_exists;positive_graph_counts;small_net_count;dominant_connected_component;quality_flags:high_isolated_ratio;dominant_component;known_badcase,clean_single_panel_topology,pending,P2,train,datas/qa_and_png/P2_oda_output/防爆式移动变电所 (gb4728_11_2.13-1).png,outputs/topology_panel_v1/_P2_staging/防爆式移动变电所 (gb4728_11_2.13-1)#panel_000.topology.v1.json,38,negative_control_badcase,badcase,bad_geometry,reject_bad_geometry,auto_reject,1.0,1,1,1/1 agents voted reject_bad_geometry
