panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason
_P2_staging/35KV变电所设计#panel_001,_P2_staging/35KV变电所设计,train,P2,_P2_staging,1,4,image_components,outputs/panels/P2/P2_staging__35KV变电所设计__panel_001.png,"44589.3291,-84709.7419,106902.2916,22951.379",outputs/normalized_geometry/_P2_staging/35KV变电所设计.normalized.json,outputs/topology_graph/_P2_staging/35KV变电所设计.topology.v0.json,outputs/topology_panel_v1/_P2_staging/35KV变电所设计#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.9,True,"The panel is a structural elevation dimensioned drawing, not a wiring or topology graph target.","Structural drawing with dimension length annotations present; No topology edges, nodes, or network elements visible; Metadata shows zero node, edge, and net counts",not_topology_target,"model: The panel is a structural elevation dimensioned drawing, not a wiring or topology graph target.",True,False,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_003,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,3,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_003.png,"72673.5938,2247.3089,167901.6111,81314.4189",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_003.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.98,True,"The panel is an architectural building layout plan, not a wiring or topology graph target.","North arrow and architectural dimension lines present; Room labels for power generation room and substation room are visible; No wiring, topology nodes or network edges appear in the diagram",not_topology_target,"model: The panel is an architectural building layout plan, not a wiring or topology graph target.",True,False,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_004,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,4,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_004.png,"45371.9834,-101062.5999,301570.2959,-7093.953",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.9,True,"The panel contains a substation grounding building layout plan, supporting text notes, material table and title block, with no valid wiring/topology graph content for extraction.","Left region is a dimensioned building floor plan with marked rooms and north arrow; Right region includes explanatory text, main material table, and standard CAD drawing title block, no topology wiring elements present",not_topology_target,"model: The panel contains a substation grounding building layout plan, supporting text notes, material table and title block, with no valid wiring/topology graph content for extraction.",True,False,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_005,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,5,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_005.png,"311289.6693,-101062.5999,567487.9819,-7093.953",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_005.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.95,True,"The panel is a substation physical floor layout plan with associated equipment table and title block, not an electrical wiring/topology graph target.","Shows physical room layout with dimension markings for equipment placement; Contains main equipment schedule table, descriptive notes, and title block; No electrical connection/wiring topology content present",not_topology_target,"model: The panel is a substation physical floor layout plan with associated equipment table and title block, not an electrical wiring/topology graph target.",True,False,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_006,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,6,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_006.png,"338591.2797,-92888.9957,436767.871,-13821.8857",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_006.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.98,True,"This panel is a substation building layout plan, not a wiring/topology graph target.","Room dimension lines and labels (e.g. 发电室, 变配电室) present; No topology nodes, edges or wiring diagrams detected; Embedded pipe construction notes visible",not_topology_target,"model: This panel is a substation building layout plan, not a wiring/topology graph target.",True,False,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_008,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,8,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_008.png,"-122696.7307,-169954.4067,71909.1487,-112850.3828",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_008.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,needs_panel_split,0.98,True,"The panel contains multiple visually independent, disconnected electrical topology diagrams separated by blank space that must be split into separate panels for topology graph use.","Two separate unconnected horizontal bus bar sections with no interconnections; Distinct left, middle, and right schematic groups are separated by whitespace, forming independent diagrams",not_topology_target,"model: The panel contains multiple visually independent, disconnected electrical topology diagrams separated by blank space that must be split into separate panels for topology graph use.",True,False,not_topology_target
_P3_staging_batch1/铁路配电所有载调压保护#panel_003,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,_P3_staging_batch1,3,6,image_components,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_003.png,"1231.4624,31.2343,1739.038,327.2925",outputs/normalized_geometry/_P3_staging_batch1/铁路配电所有载调压保护.normalized.json,outputs/topology_graph/_P3_staging_batch1/铁路配电所有载调压保护.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_003.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2938,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.98,True,"The panel is a terminal connection assignment table, not a wiring or topology diagram target.","Structured tabular layout with terminal number columns; No topology lines, device symbols or wiring connections are present",not_topology_target,"model: The panel is a terminal connection assignment table, not a wiring or topology diagram target.",True,False,not_topology_target
_P3_staging_batch4/10kv系统单线图#panel_004,_P3_staging_batch4/10kv系统单线图,train,P3,_P3_staging_batch4,4,6,image_components,outputs/panels/P3/P3_staging_batch4__10kv系统单线图__panel_004.png,"17867.6072,-18236.311,27167.6162,-15327.9856",outputs/normalized_geometry/_P3_staging_batch4/10kv系统单线图.normalized.json,outputs/topology_graph/_P3_staging_batch4/10kv系统单线图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch4/10kv系统单线图#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,1.0,True,"The panel is a relay protection configuration table, not a wiring or topology graph target.","Tabular structure with rows for power equipment and columns for protection functions; No topology nodes, edges, or circuit diagram components are present",not_topology_target,"model: The panel is a relay protection configuration table, not a wiring or topology graph target.",True,False,not_topology_target
_P3_staging_batch2/HK12-64B二位式阀电缆保护及连接图(防水密封接头、挠性管、压接式) (一)#panel_000,_P3_staging_batch2/HK12-64B二位式阀电缆保护及连接图(防水密封接头、挠性管、压接式) (一),train,P3,_P3_staging_batch2,0,1,full,datas/qa_and_png/P3_oda_output/HK12-64B二位式阀电缆保护及连接图(防水密封接头、挠性管、压接式) (一).png,"131.5,79.7,341.6,376.8",outputs/normalized_geometry/_P3_staging_batch2/HK12-64B二位式阀电缆保护及连接图(防水密封接头、挠性管、压接式) (一).normalized.json,outputs/topology_graph/_P3_staging_batch2/HK12-64B二位式阀电缆保护及连接图(防水密封接头、挠性管、压接式) (一).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch2/HK12-64B二位式阀电缆保护及连接图(防水密封接头、挠性管、压接式) (一)#panel_000.topology.v1.json,ok,,88,20,20,0,0,0,28,20,13,0.6,0.4,0.1819,high_isolated_ratio,medium,high_isolated_ratio,Review endpoint merge tolerance or geometry fragmentation.,not_topology_target,0.99,True,"The panel contains only drawing title blocks and an installation material list table, with no wiring/topology graph content present.","Upper area only has drawing title and metadata headers, no topology graphics; Lower section is a structured installation material bill of materials table",not_topology_target,"model: The panel contains only drawing title blocks and an installation material list table, with no wiring/topology graph content present.",True,False,not_topology_target
_P2_staging/35KV变电所设计(3)#panel_001,_P2_staging/35KV变电所设计(3),train,P2,_P2_staging,1,3,image_components,outputs/panels/P2/P2_staging__35KV变电所设计(3)__panel_001.png,"34317.9616,-69490.9654,101542.2907,20180.4533",outputs/normalized_geometry/_P2_staging/35KV变电所设计(3).normalized.json,outputs/topology_graph/_P2_staging/35KV变电所设计(3).topology.v0.json,outputs/topology_panel_v1/_P2_staging/35KV变电所设计(3)#panel_001.topology.v1.json,ok,,34,14,14,0,0,0,28,14,14,1.0,0.0714,1.0,high_isolated_ratio;high_fragmentation,medium,high_isolated_ratio,Review endpoint merge tolerance or geometry fragmentation.,not_topology_target,0.9,True,"The panel is a mechanical equipment installation assembly drawing, not a wiring/electrical topology graph target.","Dimensional measurement annotations are present across the diagram; Mechanical part callouts for mounting hardware, no electrical connection topology is shown",not_topology_target,"model: The panel is a mechanical equipment installation assembly drawing, not a wiring/electrical topology graph target.",True,False,not_topology_target
