panel_id,parent_drawing_key,split,phase,panel_index,panel_count,panel_png_path,panel_bbox_png,panel_bbox_cad,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,topology_v1_panel_json_path,parent_topology_v0_json_path
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000,_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,val,P1,0,2,outputs/topology_multipanel_panels/P1/P1_staging__主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000.png,"1190.0,29.0,8251.0,3236.0","77.4053,24.956,536.6982,347.2982",417,182,639,377,457,426,639,3,0.0,0.8232,0.2806,outputs/topology_panel_v1_pilot/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,outputs/topology_graph/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.topology.v0.json
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001,_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,val,P1,1,2,outputs/topology_multipanel_panels/P1/P1_staging__主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001.png,"1166.0,3353.0,6064.0,6570.0","75.8442,-310.1512,394.4416,13.1961",426,194,685,410,491,443,685,4,0.0,0.8073,0.227,outputs/topology_panel_v1_pilot/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,outputs/topology_graph/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.topology.v0.json
_P1_staging/主变及并网线保护屏端子图#manual_panel_000,_P1_staging/主变及并网线保护屏端子图,val,P1,0,2,outputs/topology_multipanel_panels/P1/P1_staging__主变及并网线保护屏端子图#manual_panel_000.png,"83.0,1778.0,4398.0,4849.0","-955.9759,-571.0172,-144.6053,-304.8206",527,233,1663,958,1436,921,1663,4,0.0,0.3403,0.427,outputs/topology_panel_v1_pilot/_P1_staging/主变及并网线保护屏端子图#manual_panel_000.topology.v1_panel_pilot.json,outputs/topology_graph/_P1_staging/主变及并网线保护屏端子图.topology.v0.json
_P1_staging/主变及并网线保护屏端子图#manual_panel_001,_P1_staging/主变及并网线保护屏端子图,val,P1,1,2,outputs/topology_multipanel_panels/P1/P1_staging__主变及并网线保护屏端子图#manual_panel_001.png,"4951.0,1764.0,9276.0,4864.0","-40.622,-572.3174,772.629,-303.6071",751,314,2046,1124,1732,1223,2046,4,0.0,0.3597,0.4282,outputs/topology_panel_v1_pilot/_P1_staging/主变及并网线保护屏端子图#manual_panel_001.topology.v1_panel_pilot.json,outputs/topology_graph/_P1_staging/主变及并网线保护屏端子图.topology.v0.json
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000,_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,train,P2,0,2,outputs/topology_multipanel_panels/P2/P2_staging__220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000.png,"58.0,739.0,9310.0,3591.0","-16.6234,-35.7382,1319.5886,261.5476",1306,437,2644,1474,2240,1552,2644,2,0.0,0.9297,0.6844,outputs/topology_panel_v1_pilot/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,outputs/topology_graph/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.topology.v0.json
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001,_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,train,P2,1,2,outputs/topology_multipanel_panels/P2/P2_staging__220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001.png,"49.0,3897.0,5938.0,5889.0","-17.9232,-275.2764,832.5905,-67.635",2197,655,4038,2255,3456,2347,4038,12,0.0007,0.2672,0.4377,outputs/topology_panel_v1_pilot/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,outputs/topology_graph/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000,_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,train,P3,0,2,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000.png,"1395.0,19.0,8022.0,3780.0","80.1187,-30.5946,592.5563,361.6052",818,303,1523,841,1230,948,1521,14,0.0059,0.522,0.3227,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,train,P3,1,2,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001.png,"1365.0,3887.0,5151.0,6589.0","77.7989,-323.5191,370.5541,-41.7526",727,265,1367,761,1112,847,1365,5,0.0,0.4842,0.2032,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,val,P3,1,4,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001.png,"141.0,5.0,9281.0,4203.0","-6.3187,-56.0771,1204.6559,440.4121",1495,554,2746,1503,2201,1721,2741,7,0.0,0.5965,0.6544,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,val,P3,2,4,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002.png,"190.0,4446.0,3294.0,6579.0","0.1734,-337.0819,411.4278,-84.8162",670,250,1113,588,864,730,1109,6,0.0,0.7304,0.2412,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_003,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,val,P3,3,4,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_003.png,"3464.0,4451.0,6555.0,6618.0","433.9514,-341.6943,843.4834,-85.4075",759,324,1364,728,1046,916,1363,4,0.0,0.5356,0.2416,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_003.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_000,_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com,train,P3,0,3,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_000.png,"209.0,53.0,9193.0,4247.0","2.6908,-60.2146,1192.9966,434.7485",1464,556,2745,1501,2198,1718,2737,8,0.0,0.5974,0.6446,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com.topology.v0.json
_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com,train,P3,1,3,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_001.png,"190.0,4436.0,3309.0,6565.0","0.1734,-333.7778,413.4152,-82.5198",651,252,1112,586,861,730,1108,7,0.0,0.7374,0.2418,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,outputs/topology_graph/_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com.topology.v0.json
