panel_id,parent_drawing_key,split,phase,panel_index,panel_count,v1_edge_count,v1_node_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,intersection_count,split_event_count,panel_png_path,topology_v1_panel_json_path,review_label,comment
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000,_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,val,P1,0,2,639,426,3,0.0,0.8232,377,457,outputs/topology_multipanel_panels/P1/P1_staging__主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000.png,outputs/topology_panel_v1_pilot/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,accept_v1,
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001,_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,val,P1,1,2,685,443,4,0.0,0.8073,410,491,outputs/topology_multipanel_panels/P1/P1_staging__主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001.png,outputs/topology_panel_v1_pilot/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,accept_v1,
_P1_staging/主变及并网线保护屏端子图#manual_panel_000,_P1_staging/主变及并网线保护屏端子图,val,P1,0,2,1663,921,4,0.0,0.3403,958,1436,outputs/topology_multipanel_panels/P1/P1_staging__主变及并网线保护屏端子图#manual_panel_000.png,outputs/topology_panel_v1_pilot/_P1_staging/主变及并网线保护屏端子图#manual_panel_000.topology.v1_panel_pilot.json,accept_v1,
_P1_staging/主变及并网线保护屏端子图#manual_panel_001,_P1_staging/主变及并网线保护屏端子图,val,P1,1,2,2046,1223,4,0.0,0.3597,1124,1732,outputs/topology_multipanel_panels/P1/P1_staging__主变及并网线保护屏端子图#manual_panel_001.png,outputs/topology_panel_v1_pilot/_P1_staging/主变及并网线保护屏端子图#manual_panel_001.topology.v1_panel_pilot.json,accept_v1,
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000,_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,train,P2,0,2,2644,1552,2,0.0,0.9297,1474,2240,outputs/topology_multipanel_panels/P2/P2_staging__220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000.png,outputs/topology_panel_v1_pilot/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,accept_v1,
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001,_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,train,P2,1,2,4038,2347,12,0.0007,0.2672,2255,3456,outputs/topology_multipanel_panels/P2/P2_staging__220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001.png,outputs/topology_panel_v1_pilot/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,accept_v1,
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000,_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,train,P3,0,2,1521,948,14,0.0059,0.522,841,1230,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000.png,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_000.topology.v1_panel_pilot.json,accept_v1,
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,train,P3,1,2,1365,847,5,0.0,0.4842,761,1112,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001.png,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,accept_v1,
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,val,P3,1,4,2741,1721,7,0.0,0.5965,1503,2201,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001.png,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_001.topology.v1_panel_pilot.json,accept_v1,
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002,_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,val,P3,2,4,1109,730,6,0.0,0.7304,588,864,outputs/topology_multipanel_panels/P3/P3_staging_batch3__PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002.png,outputs/topology_panel_v1_pilot/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com#manual_panel_002.topology.v1_panel_pilot.json,accept_v1,
