panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason,topology_panel_v1_policy_decision,topology_panel_v1_policy_exclude_reason,topology_panel_v1_release_id,topology_panel_v1_release_partition,topology_panel_v1_release_use,topology_panel_v1_release_exclude_reason,topology_panel_v1_release_is_baseline,topology_panel_v1_release_is_badcase,topology_panel_v1_release_is_improvement_target,topology_panel_v1_release_is_reviewed,panel_png_exists,topology_v1_panel_json_exists
_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG))#panel_000,_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG)),test,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG)).png,"-453.8126,-315.0313,505.6615,511.9345",outputs/normalized_geometry/_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG)).normalized.json,outputs/topology_graph/_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG)).topology.v0.json,outputs/topology_panel_v1/_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG))#panel_000.topology.v1.json,ok,,718,249,1168,628,929,0,731,1165,1,0.0,1.0,0.6333,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,False,"Single coherent terminal block wiring topology diagram with no structural defects, suitable as v1 baseline.",Unified single drawing panel with matching title block for the terminal diagram; All wiring connections form one coherent net with no independent sub-diagrams; Terminal symbols and interconnections are clearly visible and valid,accept_v1,"model: Single coherent terminal block wiring topology diagram with no structural defects, suitable as v1 baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG))#panel_000,_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG)),train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG)).png,"-453.8126,-315.0313,505.6615,511.9345",outputs/normalized_geometry/_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG)).normalized.json,outputs/topology_graph/_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG)).topology.v0.json,outputs/topology_panel_v1/_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG))#panel_000.topology.v1.json,ok,,718,249,1168,628,929,0,731,1165,1,0.0,1.0,0.6333,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,False,"The panel contains a single coherent terminal block wiring topology diagram, v1 graph metrics show a fully connected valid topology suitable as baseline.",Single title block present confirming one independent diagram; Wiring connections between upper and lower terminal blocks form a single coherent topology,accept_v1,"model: The panel contains a single coherent terminal block wiring topology diagram, v1 graph metrics show a fully connected valid topology suitable as baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG))#panel_000,_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG)),test,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG)).png,"-25.0,-286.2079,986.8476,540.758",outputs/normalized_geometry/_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG)).normalized.json,outputs/topology_graph/_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG)).topology.v0.json,outputs/topology_panel_v1/_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG))#panel_000.topology.v1.json,ok,,716,248,1165,625,927,0,730,1162,1,0.0,1.0,0.6534,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,True,"Single coherent terminal block wiring topology panel, no obvious segmentation errors, suitable as a v1 baseline.","Only one title block present, no independent separated sub-diagrams; All terminal blocks, wiring lines and annotations belong to the same 110kV switch mechanism box terminal topology target",accept_v1,"model: Single coherent terminal block wiring topology panel, no obvious segmentation errors, suitable as a v1 baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图)#panel_000,_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图),train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/QA-D401-06(10kV开关柜柜顶小母线布置图).png,"-25.0,-286.2079,986.8476,540.758",outputs/normalized_geometry/_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图).normalized.json,outputs/topology_graph/_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图)#panel_000.topology.v1.json,ok,,319,170,1111,612,1088,0,684,1108,2,0.0,0.9964,0.6534,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,False,"Panel contains a single coherent 10kV switchgear cabinet top small bus arrangement topology diagram, valid as a v1 baseline.",No independent separate sub-panels or split diagrams present in the crop; Largest net edge ratio of 0.9964 confirms almost all topology edges belong to a single connected system,accept_v1,"model: Panel contains a single coherent 10kV switchgear cabinet top small bus arrangement topology diagram, valid as a v1 baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_002,_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com,train,P1,_P1_staging,2,3,image_components,outputs/panels/P1/P1_staging__主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com__panel_002.png,"-0.0,-269.245,413.6399,-67.4228",outputs/normalized_geometry/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_002.topology.v1.json,ok,,400,186,955,531,790,0,561,953,1,0.0,1.0,0.2301,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,False,"The panel contains a single coherent terminal block wiring topology diagram, with v1 graph metrics confirming a single fully connected net with no isolated edges.","Single cohesive wiring diagram region; Only one title block present, no independent subdiagrams; Clear readable terminal and wiring geometry",accept_v1,"model: The panel contains a single coherent terminal block wiring topology diagram, with v1 graph metrics confirming a single fully connected net with no isolated edges.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch1/09(通信回路背面接线图)#panel_000,_P3_staging_batch1/09(通信回路背面接线图),train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/09(通信回路背面接线图).png,"-479.8823,-147.4596,958.4695,487.3546",outputs/normalized_geometry/_P3_staging_batch1/09(通信回路背面接线图).normalized.json,outputs/topology_graph/_P3_staging_batch1/09(通信回路背面接线图).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/09(通信回路背面接线图)#panel_000.topology.v1.json,ok,,470,230,940,430,710,0,594,940,1,0.0,1.0,0.7861,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,False,"The panel contains a single coherent communication circuit wiring diagram, with a single connected net matching expected bus topology for this type of circuit, no visible corruption or split required.",Single enclosed diagram with one title block; All wiring and components belong to one unified communication circuit; No independent separate sub-diagrams present,accept_v1,"model: The panel contains a single coherent communication circuit wiring diagram, with a single connected net matching expected bus topology for this type of circuit, no visible corruption or split required.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com#panel_000,_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com,train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com.png,"-25.0,-10.0,374.7676,211.2336",outputs/normalized_geometry/_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com.normalized.json,outputs/topology_graph/_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com#panel_000.topology.v1.json,ok,,423,218,878,471,689,0,520,878,1,0.0,1.0,0.2285,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,True,"The panel contains a single coherent terminal wiring topology target for #2备用分支, with no separate independent subfigures, and v1 graph metadata shows a single fully connected net as expected for this diagram type.","Single unified title block present, no visually independent subdiagrams; All wiring connections map to the same terminal block set for #2备用分支; v1 metadata shows 100% of edges belong to one net with 0 isolated edges",accept_v1,"model: The panel contains a single coherent terminal wiring topology target for #2备用分支, with no separate independent subfigures, and v1 graph metadata shows a single fully connected net as expected for this diagram type.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch1/07(通信回路背面接线图 )#panel_000,_P3_staging_batch1/07(通信回路背面接线图 ),train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/07(通信回路背面接线图 ).png,"-221.5213,-24.626,408.8729,263.1379",outputs/normalized_geometry/_P3_staging_batch1/07(通信回路背面接线图 ).normalized.json,outputs/topology_graph/_P3_staging_batch1/07(通信回路背面接线图 ).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/07(通信回路背面接线图 )#panel_000.topology.v1.json,ok,,344,205,795,356,590,0,506,795,1,0.0,1.0,0.3465,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,True,"The panel contains a single coherent communication circuit wiring topology with a fully connected single net, no independent subfigures, so the v1 graph is likely usable as a baseline.","Single unified wiring diagram with no separated panels/subfigures; All components (CPU modules, terminal blocks, wiring) form one connected topology; No visible image corruption or fragmented regions",accept_v1,"model: The panel contains a single coherent communication circuit wiring topology with a fully connected single net, no independent subfigures, so the v1 graph is likely usable as a baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch1/07(通信回路背面接线图)#panel_000,_P3_staging_batch1/07(通信回路背面接线图),train,P3,_P3_staging_batch1,0,1,full,datas/qa_and_png/P3_oda_output/07(通信回路背面接线图).png,"-0.5,-0.5,628.8731,263.9659",outputs/normalized_geometry/_P3_staging_batch1/07(通信回路背面接线图).normalized.json,outputs/topology_graph/_P3_staging_batch1/07(通信回路背面接线图).topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/07(通信回路背面接线图)#panel_000.topology.v1.json,ok,,338,196,762,344,566,0,485,762,1,0.0,1.0,0.3413,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,False,"The panel contains a single coherent communication circuit wiring topology, with v1 metrics confirming a single fully connected net, suitable as a v1 baseline.","Only one independent wiring diagram present, no multiple separate sub-panels; v1 metadata shows 100% of edges belong to a single connected net, no fragmentation; No visible geometry corruption or non-topology content dominating the panel",accept_v1,"model: The panel contains a single coherent communication circuit wiring topology, with v1 metrics confirming a single fully connected net, suitable as a v1 baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch3/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com#panel_000,_P3_staging_batch3/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com,train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com.png,"-25.0,-10.0,400.2074,229.5336",outputs/normalized_geometry/_P3_staging_batch3/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com.normalized.json,outputs/topology_graph/_P3_staging_batch3/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch3/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com#panel_000.topology.v1.json,ok,,337,142,704,368,565,0,421,701,1,0.0,1.0,0.244,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,True,"Panel contains a single coherent terminal block wiring topology diagram, v1 graph metrics indicate a single fully connected net with no isolated edges.",Only one independent wiring diagram panel is present; Single associated title block for the 1FWK cabinet terminal wiring diagram; All connections belong to the same terminal block assembly,accept_v1,"model: Panel contains a single coherent terminal block wiring topology diagram, v1 graph metrics indicate a single fully connected net with no isolated edges.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch3/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com#panel_000,_P3_staging_batch3/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com,train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com.png,"-25.0,-10.0,400.2074,218.79",outputs/normalized_geometry/_P3_staging_batch3/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com.normalized.json,outputs/topology_graph/_P3_staging_batch3/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch3/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com#panel_000.topology.v1.json,ok,,330,134,659,349,528,0,392,657,1,0.0,1.0,0.2414,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,True,"Single coherent terminal cable wiring topology diagram, v1 graph is fully connected with no isolated edges, no obvious segmentation errors.","One unified terminal wiring diagram without separate independent subpanels; All wiring edges connect source device labels to terminal block components, no visible corruption",accept_v1,"model: Single coherent terminal cable wiring topology diagram, v1 graph is fully connected with no isolated edges, no obvious segmentation errors.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
_P3_staging_batch4/发电机保护屏端子图#panel_003,_P3_staging_batch4/发电机保护屏端子图,train,P3,_P3_staging_batch4,3,7,image_components,outputs/panels/P3/P3_staging_batch4__发电机保护屏端子图__panel_003.png,"324.5404,-640.7378,472.6497,-390.7505",outputs/normalized_geometry/_P3_staging_batch4/发电机保护屏端子图.normalized.json,outputs/topology_graph/_P3_staging_batch4/发电机保护屏端子图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch4/发电机保护屏端子图#panel_003.topology.v1.json,ok,,202,98,619,330,521,0,385,619,3,0.0032,0.9968,0.1453,dominant_component,low,dominant_component,Spot-check whether the graph is over-connected.,accept_v1,0.9,True,"The panel is a single coherent terminal wiring topology, v1 graph metrics show a dominant nearly complete net with minimal isolated edges, suitable as baseline.","Single unified terminal wiring diagram with no separate independent subpanels; v1 largest net edge ratio is 0.9968, almost all connections belong to one coherent topology",accept_v1,"model: The panel is a single coherent terminal wiring topology, v1 graph metrics show a dominant nearly complete net with minimal isolated edges, suitable as baseline.",True,True,,baseline_accept,,topology_panel_v1_2026-07-08,clean_baseline,topology_graph_v1_baseline,,True,False,False,True,True,True
