panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason,topology_panel_v1_policy_decision,topology_panel_v1_policy_exclude_reason
_P2_staging/SGT-变电所设备布置平面图#panel_000,_P2_staging/SGT-变电所设备布置平面图,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/SGT-变电所设备布置平面图.png,"-11365539.8625,-11044379.9561,11786706.9924,8829215.4247",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,0.99,True,"The input image contains numerous visually independent, separated sub-diagrams that must be split into individual panels before topology graph generation","Multiple bounded discrete drawing panels each with their own title blocks (e.g. 施工图, 初步设计) are visible; Each sub-diagram is a distinct independent layout separated by white space",needs_panel_split,"model: The input image contains numerous visually independent, separated sub-diagrams that must be split into individual panels before topology graph generation",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/体育场变电所电气平面图wm666.taobao.com#panel_000,_P2_staging/体育场变电所电气平面图wm666.taobao.com,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/体育场变电所电气平面图wm666.taobao.com.png,"-788400.2734,-674814.2869,1574602.2833,341869.998",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,0.99,True,The image contains multiple independent separated diagram panels each with unique identifiers that require splitting prior to topology graph generation.,"Multiple distinct bordered drawing panels with unique labels (e.g. 1#B 33, 2#B 39) are present; Each panel is a self-contained independent diagram with separate content and layout",bad_geometry,,True,False,bad_geometry,badcase,bad_geometry
_P2_staging/某降压变电站设计#panel_000,_P2_staging/某降压变电站设计,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/某降压变电站设计.png,"26357.5,57000.0,484754.0,267163.6",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,0.98,True,"The image contains 4 distinct, visually separated independent sub-diagrams that require splitting before topology graph processing","Clear white space gaps separate each independent diagram region; Multiple separate diagram titles (e.g. 防雷设计图, 电气总平面布置图) are present for distinct panels; Right half of the image has two additional independent diagrams separate from left two panels",needs_panel_split,"model: The image contains 4 distinct, visually separated independent sub-diagrams that require splitting before topology graph processing",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/某降压变电站设计wm666.taobao.com#panel_000,_P2_staging/某降压变电站设计wm666.taobao.com,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/某降压变电站设计wm666.taobao.com.png,"26357.5,57000.0,484754.0,267163.6",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,1.0,True,The panel contains multiple independent separated sub-diagrams that require splitting before topology graph processing.,"Four clearly separated independent diagram regions divided by white space borders; Each sub-region has its own title (e.g. 防雷设计图, 电气总平面布置) and unconnected design content",needs_panel_split,model: The panel contains multiple independent separated sub-diagrams that require splitting before topology graph processing.,True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P3_staging_batch3/泉州涂门街中段保护与改建电气设计#panel_000,_P3_staging_batch3/泉州涂门街中段保护与改建电气设计,train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/泉州涂门街中段保护与改建电气设计.png,"-167137.9084,-23701.5677,456862.0916,672484.386",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,0.95,True,The image contains two distinct independent drawing panels that require splitting before topology graph processing.,Upper panel is a separate electrical specification/distribution system diagram; Lower panel is a separate site layout/lighting plan diagram; Two panels are separated by clear empty white space with distinct independent borders,needs_panel_split,model: The image contains two distinct independent drawing panels that require splitting before topology graph processing.,True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com,test,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com.png,"0.0,-106252.157,501238.8045,737841.246",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,0.99,True,"The input panel contains multiple independent, separated CAD sub-diagrams that need to be split before topology graph processing.",Multiple distinct drawing regions each with its own title block; Clear whitespace gaps separate independent diagram groups; No single unified topology target present in the full panel,needs_panel_split,"model: The input panel contains multiple independent, separated CAD sub-diagrams that need to be split before topology graph processing.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29,val,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com__29.png,"-36393.024,-106252.157,501238.8045,962613.4948",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,1.0,True,"The panel contains multiple visually independent, separated CAD electrical diagram subfigures that require splitting before topology graph generation.",Three distinct groups of diagrams separated by large whitespace gaps; Each group has multiple standalone sub-diagrams with individual title blocks and wiring content,needs_panel_split,"model: The panel contains multiple visually independent, separated CAD electrical diagram subfigures that require splitting before topology graph generation.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/变电所修#panel_000,_P2_staging/变电所修,val,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所修.png,"0.0,0.0,223756.1854,99679.1562",outputs/normalized_geometry/_P2_staging/变电所修.normalized.json,outputs/topology_graph/_P2_staging/变电所修.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所修#panel_000.topology.v1.json,truncated_max_segments,,8989,7532,430825,215106,428622,5191,78745,219846,223,0.0005,0.6656,1.0,,critical,truncated_max_segments,Review extremely dense graph; raise max_segments only if visually valid.,needs_panel_split,0.98,True,"The input image contains multiple visually independent, separated CAD diagram panels that must be split before topology graph processing.","5 distinct bordered drawing panels with independent content are present; Each panel has its own unique title block, e.g. substation layout, low voltage cabinet system diagrams",needs_panel_split,"model: The input image contains multiple visually independent, separated CAD diagram panels that must be split before topology graph processing.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/变电所修__479#panel_000,_P2_staging/变电所修__479,val,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所修__479.png,"0.0,0.0,223756.1854,99679.1562",outputs/normalized_geometry/_P2_staging/变电所修__479.normalized.json,outputs/topology_graph/_P2_staging/变电所修__479.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所修__479#panel_000.topology.v1.json,truncated_max_segments,,8989,7532,430825,215106,428622,5191,78745,219846,223,0.0005,0.6656,1.0,,critical,truncated_max_segments,Review extremely dense graph; raise max_segments only if visually valid.,needs_panel_split,1.0,True,"The image contains multiple distinct, independent CAD diagram panels that must be split into separate individual panels before topology processing.",Five separate bordered drawing panels with unique titles are present; Independent third-party logo block is visible as a separate unconnected region,needs_panel_split,"model: The image contains multiple distinct, independent CAD diagram panels that must be split into separate individual panels before topology processing.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,train,P1,_P1_staging,1,5,image_components,outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,"7451.1673,-35649.6529,242548.0436,9958.5605",outputs/normalized_geometry/_P1_staging/05电气主接线.normalized.json,outputs/topology_graph/_P1_staging/05电气主接线.topology.v0.json,outputs/topology_panel_v1/_P1_staging/05电气主接线#panel_001.topology.v1.json,ok,,124,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,still_fragmented,0.85,True,"The panel contains a single coherent electrical main wiring diagram, but no valid topology elements were extracted, leaving the graph completely unusable.","All v1 node, edge, net counts are 0; Quality flags explicitly note no edges and no nets were detected",still_fragmented,"model: The panel contains a single coherent electrical main wiring diagram, but no valid topology elements were extracted, leaving the graph completely unusable.",True,False,still_fragmented,improvement_target,still_fragmented
