panel_id,parent_drawing_key,split,phase,severity,anomaly_type,split_method,status,quality_flags,v1_edge_count,v1_node_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,intersection_count,panel_png_path,topology_v1_panel_json_path,model_review_label,model_confidence,model_needs_human_review,model_reason,review_label,comment
_P2_staging/SGT-变电所设备布置平面图#panel_000,_P2_staging/SGT-变电所设备布置平面图,train,P2,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/SGT-变电所设备布置平面图.png,,needs_panel_split,0.99,True,"The input image contains numerous visually independent, separated sub-diagrams that must be split into individual panels before topology graph generation",needs_panel_split,"model: The input image contains numerous visually independent, separated sub-diagrams that must be split into individual panels before topology graph generation"
_P2_staging/体育场变电所电气平面图wm666.taobao.com#panel_000,_P2_staging/体育场变电所电气平面图wm666.taobao.com,train,P2,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/体育场变电所电气平面图wm666.taobao.com.png,,needs_panel_split,0.99,True,The image contains multiple independent separated diagram panels each with unique identifiers that require splitting prior to topology graph generation.,bad_geometry,
_P2_staging/某降压变电站设计#panel_000,_P2_staging/某降压变电站设计,train,P2,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/某降压变电站设计.png,,needs_panel_split,0.98,True,"The image contains 4 distinct, visually separated independent sub-diagrams that require splitting before topology graph processing",needs_panel_split,"model: The image contains 4 distinct, visually separated independent sub-diagrams that require splitting before topology graph processing"
_P2_staging/某降压变电站设计wm666.taobao.com#panel_000,_P2_staging/某降压变电站设计wm666.taobao.com,train,P2,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/某降压变电站设计wm666.taobao.com.png,,needs_panel_split,1.0,True,The panel contains multiple independent separated sub-diagrams that require splitting before topology graph processing.,needs_panel_split,model: The panel contains multiple independent separated sub-diagrams that require splitting before topology graph processing.
_P3_staging_batch3/泉州涂门街中段保护与改建电气设计#panel_000,_P3_staging_batch3/泉州涂门街中段保护与改建电气设计,train,P3,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P3_oda_output/泉州涂门街中段保护与改建电气设计.png,,needs_panel_split,0.95,True,The image contains two distinct independent drawing panels that require splitting before topology graph processing.,needs_panel_split,model: The image contains two distinct independent drawing panels that require splitting before topology graph processing.
_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com,test,P3,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com.png,,needs_panel_split,0.99,True,"The input panel contains multiple independent, separated CAD sub-diagrams that need to be split before topology graph processing.",needs_panel_split,"model: The input panel contains multiple independent, separated CAD sub-diagrams that need to be split before topology graph processing."
_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29,val,P3,critical,error,full,error,error,0,0,0,0.0,0.0,0,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com__29.png,,needs_panel_split,1.0,True,"The panel contains multiple visually independent, separated CAD electrical diagram subfigures that require splitting before topology graph generation.",needs_panel_split,"model: The panel contains multiple visually independent, separated CAD electrical diagram subfigures that require splitting before topology graph generation."
_P2_staging/变电所修#panel_000,_P2_staging/变电所修,val,P2,critical,truncated_max_segments,full,truncated_max_segments,,219846,78745,223,0.0005,0.6656,215106,datas/qa_and_png/P2_oda_output/变电所修.png,outputs/topology_panel_v1/_P2_staging/变电所修#panel_000.topology.v1.json,needs_panel_split,0.98,True,"The input image contains multiple visually independent, separated CAD diagram panels that must be split before topology graph processing.",needs_panel_split,"model: The input image contains multiple visually independent, separated CAD diagram panels that must be split before topology graph processing."
_P2_staging/变电所修__479#panel_000,_P2_staging/变电所修__479,val,P2,critical,truncated_max_segments,full,truncated_max_segments,,219846,78745,223,0.0005,0.6656,215106,datas/qa_and_png/P2_oda_output/变电所修__479.png,outputs/topology_panel_v1/_P2_staging/变电所修__479#panel_000.topology.v1.json,needs_panel_split,1.0,True,"The image contains multiple distinct, independent CAD diagram panels that must be split into separate individual panels before topology processing.",needs_panel_split,"model: The image contains multiple distinct, independent CAD diagram panels that must be split into separate individual panels before topology processing."
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,train,P1,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,outputs/topology_panel_v1/_P1_staging/05电气主接线#panel_001.topology.v1.json,still_fragmented,0.85,True,"The panel contains a single coherent electrical main wiring diagram, but no valid topology elements were extracted, leaving the graph completely unusable.",still_fragmented,"model: The panel contains a single coherent electrical main wiring diagram, but no valid topology elements were extracted, leaving the graph completely unusable."
