panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action
_P2_staging/SGT-变电所设备布置平面图#panel_000,_P2_staging/SGT-变电所设备布置平面图,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/SGT-变电所设备布置平面图.png,"-11365539.8625,-11044379.9561,11786706.9924,8829215.4247",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P2_staging/体育场变电所电气平面图wm666.taobao.com#panel_000,_P2_staging/体育场变电所电气平面图wm666.taobao.com,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/体育场变电所电气平面图wm666.taobao.com.png,"-788400.2734,-674814.2869,1574602.2833,341869.998",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P2_staging/某降压变电站设计#panel_000,_P2_staging/某降压变电站设计,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/某降压变电站设计.png,"26357.5,57000.0,484754.0,267163.6",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P2_staging/某降压变电站设计wm666.taobao.com#panel_000,_P2_staging/某降压变电站设计wm666.taobao.com,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/某降压变电站设计wm666.taobao.com.png,"26357.5,57000.0,484754.0,267163.6",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P3_staging_batch3/泉州涂门街中段保护与改建电气设计#panel_000,_P3_staging_batch3/泉州涂门街中段保护与改建电气设计,train,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/泉州涂门街中段保护与改建电气设计.png,"-167137.9084,-23701.5677,456862.0916,672484.386",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com,test,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com.png,"0.0,-106252.157,501238.8045,737841.246",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29,val,P3,_P3_staging_batch3,0,1,full,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com__29.png,"-36393.024,-106252.157,501238.8045,962613.4948",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row."
_P2_staging/变电所修#panel_000,_P2_staging/变电所修,val,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所修.png,"0.0,0.0,223756.1854,99679.1562",outputs/normalized_geometry/_P2_staging/变电所修.normalized.json,outputs/topology_graph/_P2_staging/变电所修.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所修#panel_000.topology.v1.json,truncated_max_segments,,8989,7532,430825,215106,428622,5191,78745,219846,223,0.0005,0.6656,1.0,,critical,truncated_max_segments,Review extremely dense graph; raise max_segments only if visually valid.
_P2_staging/变电所修__479#panel_000,_P2_staging/变电所修__479,val,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所修__479.png,"0.0,0.0,223756.1854,99679.1562",outputs/normalized_geometry/_P2_staging/变电所修__479.normalized.json,outputs/topology_graph/_P2_staging/变电所修__479.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所修__479#panel_000.topology.v1.json,truncated_max_segments,,8989,7532,430825,215106,428622,5191,78745,219846,223,0.0005,0.6656,1.0,,critical,truncated_max_segments,Review extremely dense graph; raise max_segments only if visually valid.
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,train,P1,_P1_staging,1,5,image_components,outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,"7451.1673,-35649.6529,242548.0436,9958.5605",outputs/normalized_geometry/_P1_staging/05电气主接线.normalized.json,outputs/topology_graph/_P1_staging/05电气主接线.topology.v0.json,outputs/topology_panel_v1/_P1_staging/05电气主接线#panel_001.topology.v1.json,ok,,124,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
