drawing_key,drawing_id,split,phase,batch,status,topology_ready,edge_count,node_count,net_count,largest_net_edge_ratio,isolated_edge_ratio,quality_flags,topology_json_path,png_path,review_label,comment
_P1_staging/35kv江鑫－主变35kv侧开关柜端子排图,35kv江鑫－主变35kv侧开关柜端子排图,train,P1,_P1_staging,ok,True,241,445,210,0.0166,0.8174,high_isolated_ratio,outputs/topology_graph/_P1_staging/35kv江鑫－主变35kv侧开关柜端子排图.topology.v0.json,datas/qa_and_png/P1_oda_output/35kv江鑫－主变35kv侧开关柜端子排图.png,accept_v0,
_P1_staging/35kv江鑫－主变35kv侧开关柜端子排图wm666.taobao.com,35kv江鑫－主变35kv侧开关柜端子排图wm666.taobao.com,train,P1,_P1_staging,ok,True,241,445,210,0.0166,0.8174,high_isolated_ratio,outputs/topology_graph/_P1_staging/35kv江鑫－主变35kv侧开关柜端子排图wm666.taobao.com.topology.v0.json,datas/qa_and_png/P1_oda_output/35kv江鑫－主变35kv侧开关柜端子排图wm666.taobao.com.png,accept_v0,
_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com,val,P1,_P1_staging,ok,True,392,728,350,0.0102,0.8571,high_isolated_ratio,outputs/topology_graph/_P1_staging/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P1_oda_output/主变压器远方测温及有载调压档位显示接线图(B066-500-1209)wm666.taobao.com.png,needs_intersection_split,
_P1_staging/主变及并网线保护屏端子图,主变及并网线保护屏端子图,val,P1,_P1_staging,ok,True,919,1710,811,0.012,0.8085,high_isolated_ratio,outputs/topology_graph/_P1_staging/主变及并网线保护屏端子图.topology.v0.json,datas/qa_and_png/P1_oda_output/主变及并网线保护屏端子图.png,needs_intersection_split,
_P1_staging/电厂烟气脱硫电气主接线,电厂烟气脱硫电气主接线,val,P1,_P1_staging,ok,True,745,1382,655,0.0067,0.8121,high_isolated_ratio,outputs/topology_graph/_P1_staging/电厂烟气脱硫电气主接线.topology.v0.json,datas/qa_and_png/P1_oda_output/电厂烟气脱硫电气主接线.png,accept_v0,
_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com,train,P2,_P2_staging,ok,True,1509,2756,1295,0.0046,0.8005,high_isolated_ratio,outputs/topology_graph/_P2_staging/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P2_oda_output/220kV母线保护屏BP-2B端子排(B066-500-0607)wm666.taobao.com.png,needs_intersection_split,
_P2_staging/35KV变电所所用变单元端子图,35KV变电所所用变单元端子图,train,P2,_P2_staging,ok,True,398,191,17,0.8844,0.0201,dominant_component,outputs/topology_graph/_P2_staging/35KV变电所所用变单元端子图.topology.v0.json,datas/qa_and_png/P2_oda_output/35KV变电所所用变单元端子图.png,bad_geometry,
_P2_staging/35kv江鑫－6kv馈线开关柜端子排图,35kv江鑫－6kv馈线开关柜端子排图,train,P2,_P2_staging,ok,True,264,486,233,0.0152,0.8182,high_isolated_ratio,outputs/topology_graph/_P2_staging/35kv江鑫－6kv馈线开关柜端子排图.topology.v0.json,datas/qa_and_png/P2_oda_output/35kv江鑫－6kv馈线开关柜端子排图.png,bad_geometry,
_P2_staging/35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com,35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com,test,P2,_P2_staging,ok,True,264,486,233,0.0152,0.8182,high_isolated_ratio,outputs/topology_graph/_P2_staging/35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com.topology.v0.json,datas/qa_and_png/P2_oda_output/35kv江鑫－6kv馈线开关柜端子排图wm666.taobao.com.png,bad_geometry,
_P2_staging/变电所、配电所 (gb4728_11_1.3-1),变电所、配电所 (gb4728_11_1.3-1),train,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).topology.v0.json,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-1).png,bad_geometry,
